Step,T_CE,T_Acc,T_Res,V_CE,V_Acc,V_Res,E_CE,E_Acc,E_Res,Time
38000,0.012004788432121277,0.99982,49991.0,0.06322152298688889,0.9816,9816.0,0.05558122074604034,0.9818,9818.0,3067.0554370880127
38500,0.012031647902131081,0.99982,49991.0,0.06315974965691566,0.9814,9814.0,0.05567058825492859,0.9819,9819.0,3107.4550659656525
39000,0.012033990901708603,0.99984,49992.0,0.06379027935266494,0.9817,9817.0,0.05557278891801834,0.982,9820.0,3147.801525115967
39500,0.012027785806059838,0.99986,49993.0,0.06343830041885376,0.9816,9816.0,0.05567479624450207,0.9821,9821.0,3188.1597299575806
40000,0.012011193726658822,0.99986,49993.0,0.06330800005197525,0.9819,9819.0,0.055528639101982115,0.9817,9817.0,3228.5109770298004
40500,0.012019976117610931,0.99984,49992.0,0.0632651278078556,0.9814,9814.0,0.05554362528920174,0.9819,9819.0,3269.2018251419067
41000,0.01201746721982956,0.99984,49992.0,0.0634611803650856,0.9811,9811.0,0.055471044009923934,0.9821,9821.0,3309.4105141162872
41500,0.012012319962382317,0.99986,49993.0,0.06356890013217927,0.9817,9817.0,0.055678791880607606,0.9822,9822.0,3349.5474619865417
42000,0.01202565560221672,0.99984,49992.0,0.06350796545743942,0.9817,9817.0,0.05548466715812683,0.9823,9823.0,3389.6250450611115
42500,0.012021815254688263,0.99982,49991.0,0.06327436336874961,0.9817,9817.0,0.05572993939518928,0.9822,9822.0,3429.83948802948
43000,0.01201163460969925,0.99982,49991.0,0.06342804234027863,0.9815,9815.0,0.05564268742799759,0.9818,9818.0,3470.0530409812927
43500,0.012023079968690873,0.99982,49991.0,0.06340799714326859,0.982,9820.0,0.05554864635169506,0.9819,9819.0,3510.273545026779
44000,0.012019677105545998,0.99986,49993.0,0.06342657403945923,0.9818,9818.0,0.055620519280433656,0.9822,9822.0,3550.479436159134
44500,0.012013648152947426,0.9998,49990.0,0.06341174197793006,0.9815,9815.0,0.055666787242889405,0.9821,9821.0,3590.58176612854
45000,0.012015703163743018,0.99986,49993.0,0.06335486854314804,0.9815,9815.0,0.05564644514322281,0.982,9820.0,3631.189388036728
45500,0.011999837464094162,0.99982,49991.0,0.06341059479117393,0.9816,9816.0,0.055295919334888456,0.9817,9817.0,3671.861857175827
46000,0.012016726843118667,0.99986,49993.0,0.06338442157506943,0.9815,9815.0,0.055517602956295015,0.9822,9822.0,3711.9702711105347
46500,0.012019775840044022,0.99984,49992.0,0.06325429176688194,0.9816,9816.0,0.05558787795305252,0.9817,9817.0,3753.0119400024414
47000,0.012013076592683792,0.99984,49992.0,0.06348823037147522,0.9818,9818.0,0.05578803557753563,0.9821,9821.0,3793.0314049720764
47500,0.012017647792696953,0.99986,49993.0,0.06355078340768815,0.9818,9818.0,0.055626089733839035,0.9819,9819.0,3833.067875146866
48000,0.012013291032910347,0.99986,49993.0,0.06326030502319335,0.9816,9816.0,0.05556743188500404,0.9819,9819.0,3873.1873409748077
48500,0.012007993806004525,0.99986,49993.0,0.063406187915802,0.9813,9813.0,0.05563205237984657,0.9821,9821.0,3913.3586230278015
49000,0.012017891262173652,0.99982,49991.0,0.0635537064731121,0.9816,9816.0,0.055646625781059264,0.9823,9823.0,3953.5906240940094
49500,0.012014836763739586,0.99984,49992.0,0.06347527898550033,0.9817,9817.0,0.05567706534266472,0.9819,9819.0,3993.5955941677094
50000,0.012002699848413467,0.99982,49991.0,0.06334357423186303,0.9819,9819.0,0.055683602064847945,0.982,9820.0,4034.199336051941
50500,0.012023472636938095,0.99984,49992.0,0.06325802093148232,0.9818,9818.0,0.05553326300382614,0.9821,9821.0,4075.6364159584045
51000,0.012021111630797386,0.99982,49991.0,0.06350798364877701,0.9817,9817.0,0.05569415605068207,0.9819,9819.0,4115.872845172882
51500,0.01201331737279892,0.99984,49992.0,0.06333978412151337,0.9816,9816.0,0.05566917329132557,0.9819,9819.0,4156.077943086624
52000,0.01200480948150158,0.99986,49993.0,0.06328176376819611,0.9814,9814.0,0.05552524107694626,0.9818,9818.0,4196.186141967773
52500,0.012010577784180642,0.99986,49993.0,0.0633952514231205,0.9818,9818.0,0.0555753086566925,0.982,9820.0,4236.219684123993
53000,0.01201208599627018,0.99984,49992.0,0.06336943957805634,0.9817,9817.0,0.05552203792929649,0.9821,9821.0,4276.415579080582
53500,0.012019665017724036,0.99984,49992.0,0.0634500619828701,0.9818,9818.0,0.05562070651054382,0.982,9820.0,4316.559885025024
